"Date","Parameter","Unit","Value"
"2023-12-14T15:30:00.0000000+02:00","Stage","m","0.75"
"2024-02-09T10:00:00.0000000+02:00","Stage","m","2.11"
"2023-12-14T15:30:00.0000000+02:00","Discharge","m^3/s","9.39"
"2024-02-09T10:00:00.0000000+02:00","Discharge","m^3/s","9.57"
