Station_Name,Lat,Lon,Elev,Year,Month,Day,PRECIP(mm)
GITEGA,-1.96,30.06,1522,2020,4,22,16.1
GITEGA,-1.96,30.06,1522,2020,4,23,9.6
GITEGA,-1.96,30.06,1522,2020,4,24,32.25
GITEGA,-1.96,30.06,1522,2020,4,25,22.95
GITEGA,-1.96,30.06,1522,2020,4,26,0.35
GITEGA,-1.96,30.06,1522,2020,4,27,1.5
GITEGA,-1.96,30.06,1522,2020,4,28,6.65
GITEGA,-1.96,30.06,1522,2020,4,29,12.1
GITEGA,-1.96,30.06,1522,2020,4,30,10.15
GITEGA,-1.96,30.06,1522,2020,5,1,1
GITEGA,-1.96,30.06,1522,2020,5,2,0.2
GITEGA,-1.96,30.06,1522,2020,5,3,0.1
GITEGA,-1.96,30.06,1522,2020,5,4,0
GITEGA,-1.96,30.06,1522,2020,5,5,0
GITEGA,-1.96,30.06,1522,2020,5,6,0
GITEGA,-1.96,30.06,1522,2020,5,7,2.3
GITEGA,-1.96,30.06,1522,2020,5,8,0
GITEGA,-1.96,30.06,1522,2020,5,9,0.2
GITEGA,-1.96,30.06,1522,2020,5,10,0
GITEGA,-1.96,30.06,1522,2020,5,11,1.3
GITEGA,-1.96,30.06,1522,2020,5,12,14.4
GITEGA,-1.96,30.06,1522,2020,5,13,0.1
GITEGA,-1.96,30.06,1522,2020,5,14,0
GITEGA,-1.96,30.06,1522,2020,5,15,0
GITEGA,-1.96,30.06,1522,2020,5,16,6.5
GITEGA,-1.96,30.06,1522,2020,5,17,1
GITEGA,-1.96,30.06,1522,2020,5,18,0
GITEGA,-1.96,30.06,1522,2020,5,19,0
GITEGA,-1.96,30.06,1522,2020,5,20,1.6
GITEGA,-1.96,30.06,1522,2020,5,21,0
GITEGA,-1.96,30.06,1522,2020,5,22,0
GITEGA,-1.96,30.06,1522,2020,5,23,0
GITEGA,-1.96,30.06,1522,2020,5,24,0
GITEGA,-1.96,30.06,1522,2020,5,25,0
GITEGA,-1.96,30.06,1522,2020,5,26,0
GITEGA,-1.96,30.06,1522,2020,5,27,0
GITEGA,-1.96,30.06,1522,2020,5,28,0
GITEGA,-1.96,30.06,1522,2020,5,29,0
GITEGA,-1.96,30.06,1522,2020,5,30,0
GITEGA,-1.96,30.06,1522,2020,5,31,0
GITEGA,-1.96,30.06,1522,2020,6,1,0
GITEGA,-1.96,30.06,1522,2020,6,2,0
GITEGA,-1.96,30.06,1522,2020,6,3,0
GITEGA,-1.96,30.06,1522,2020,6,4,0
GITEGA,-1.96,30.06,1522,2020,6,5,0
GITEGA,-1.96,30.06,1522,2020,6,6,0
GITEGA,-1.96,30.06,1522,2020,6,7,0
